cik,accession,form_type
0000320193,0000320193-23-000064,10-K
0000320193,0000320193-23-000077,10-Q
0000320193,0000320193-22-000108,10-K
0000789019,0000950170-25-100235,10-K
0000789019,0000950170-24-087843,10-K
0000789019,0001193125-26-027207,10-Q
0001652044,0001652044-26-000018,10-K
0001652044,0001652044-25-000014,10-K
0001652044,0001652044-25-000091,10-Q
0001018724,0001018724-26-000004,10-K
0001018724,0001018724-25-000004,10-K
0001018724,0001018724-25-000123,10-Q
0001326801,0001628280-26-003942,10-K
0001326801,0001326801-25-000017,10-K
0001326801,0001628280-25-047240,10-Q
0000019617,0001628280-26-008131,10-K
0000019617,0000019617-25-000270,10-K
0000019617,0001628280-25-048859,10-Q
0001318605,0001104659-26-053166,10-K
0001318605,0001628280-25-045968,10-Q
